player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Art Brooks,/players/b/brookar01.html,1918,TRA,/teams/TRA/1918.html,28,4,,2,2,0,23,,,,6.27,0,220,,,,,,0,0,0,0
Sammy Hebert,/players/h/hebersa01.html,1918,TRA,/teams/TRA/1918.html,23,2,,1,0,0,10,,,,7.50,0,80,,,,,,0,0,0,0
Hap Holmes,/players/h/holmeha01.html,1918,TRA,/teams/TRA/1918.html,29,16,,9,7,0,76,,,,4.73,0,965,,,,,,0,0,0,0
Bert Lindsay,/players/l/lindsbe01.html,1918,MTW,/teams/MTW/1918.html,36,4,,1,3,0,35,,,,8.75,0,240,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1918,MTL,/teams/MTL/1918.html,31,21,,12,9,0,84,,,,3.93,1,1282,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1919,OTS,/teams/OTS/1919.html,26,18,,12,6,0,53,,,,2.76,2,1152,,,,,,0,0,0,3
Sprague Cleghorn,/players/c/cleghsp01.html,1919,OTS,/teams/OTS/1919.html,28,1,,0,0,0,0,,,,0.00,0,3,,,,,,7,6,13,27
Hap Holmes,/players/h/holmeha01.html,1919,TRA,/teams/TRA/1919.html,30,2,,0,2,0,9,,,,4.50,0,120,,,,,,0,0,0,0
Bert Lindsay,/players/l/lindsbe01.html,1919,TRA,/teams/TRA/1919.html,37,16,,5,11,0,83,,,,4.99,0,998,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1919,MTL,/teams/MTL/1919.html,32,18,,10,8,0,78,,,,4.19,1,1117,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1920,OTS,/teams/OTS/1920.html,27,24,,19,5,0,64,,,,2.66,5,1443,,,,,,0,0,0,0
Frank Brophy,/players/b/brophfr01.html,1920,QBC,/teams/QBC/1920.html,19,21,,3,18,0,148,,,,7.11,0,1249,,,,,,0,0,0,0
Jack Darragh,/players/d/darraja01.html,1920,OTS,/teams/OTS/1920.html,29,1,,0,0,0,0,,,,0.00,0,2,,,,,,22,14,36,22
Jake Forbes,/players/f/forbeja01.html,1920,TRS,/teams/TRS/1920.html,22,5,,2,3,0,21,,,,4.20,0,300,,,,,,0,0,0,0
Howard Lockhart,/players/l/lockhho01.html,1920,,,24,8,,4,3,0,36,,,,5.84,0,370,,,,,,0,0,0,0
Mike Mitchell,/players/m/mitchiv01.html,1920,TRS,/teams/TRS/1920.html,26,16,,6,7,0,60,,,,4.34,0,830,,,,,,0,0,0,0
Harry Mummery,/players/m/mummeha01.html,1920,QBC,/teams/QBC/1920.html,30,3,,1,1,0,18,,,,7.61,0,142,,,,,,9,9,18,42
Georges Vezina,/players/v/vezinge01.html,1920,MTL,/teams/MTL/1920.html,33,24,,13,11,0,113,,,,4.66,0,1456,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1921,OTS,/teams/OTS/1921.html,28,24,,14,10,0,75,,,,3.08,2,1462,,,,,,0,0,0,0
