identifier,rank,name,final_season,hall_of_fame,pred
/players/h/howego01.html,1.0,Gordie Howe,1979-80,1,1.0
/players/g/gretzwa01.html,2.0,Wayne Gretzky,1998-99,1,0.9999999999999989
/players/b/bourqra01.html,3.0,Ray Bourque,2000-01,1,0.9999999999969975
/players/r/richama01.html,4.0,Maurice Richard,1959-60,1,0.9999999999532498
/players/o/ovechal01.html,5.0,Alex Ovechkin,2021-22,0,0.9999999995280267
/players/b/belivje01.html,6.0,Jean Beliveau,1970-71,1,0.9999999971812024
/players/h/hullbo01.html,7.0,Bobby Hull,1979-80,1,0.9999999965704516
/players/l/lidstni01.html,8.0,Nicklas Lidström,2011-12,1,0.999999969836572
/players/j/jagrja01.html,9.0,Jaromír Jágr,2017-18,0,0.9999999397481815
/players/e/esposph01.html,10.0,Phil Esposito,1980-81,1,0.9999998357151093
/players/l/lemiema01.html,11.0,Mario Lemieux,2005-06,1,0.9999997851381959
/players/p/plantja01.html,12.0,Jacques Plante,1972-73,1,0.9999995538479193
/players/c/crosbsi01.html,13.0,Sidney Crosby,2021-22,0,0.9999993419831699
/players/h/harvedo01.html,14.0,Doug Harvey,1968-69,1,0.9999992576218406
/players/k/kellyre01.html,15.0,Red Kelly,1966-67,1,0.9999991441224731
/players/m/mikitst01.html,16.0,Stan Mikita,1979-80,1,0.9999991391263335
/players/m/mahovfr01.html,17.0,Frank Mahovlich,1973-74,1,0.9999987834880686
/players/s/shoreed01.html,18.0,Eddie Shore,1939-40,1,0.9999979735381656
/players/l/lindste01.html,19.0,Ted Lindsay,1964-65,1,0.9999975452427661
/players/m/messima01.html,20.0,Mark Messier,2003-04,1,0.9999973469506339
/players/c/coffepa01.html,21.0,Paul Coffey,2000-01,1,0.9999963559785319
/players/m/morenho01.html,22.0,Howie Morenz,1936-37,1,0.9999958549090309
/players/s/sawchte01.html,23.0,Terry Sawchuk,1969-70,1,0.9999951252950426
/players/h/hallgl01.html,24.0,Glenn Hall,1970-71,1,0.9999941129965556
/players/j/joliaau01.html,25.0,Aurele Joliat,1937-38,1,0.99999209830386
/players/b/brodema01.html,26.0,Martin Brodeur,2014-15,1,0.9999869666572582
/players/o/orrbo01.html,27.0,Bobby Orr,1978-79,1,0.999980576597865
/players/c/clancki01.html,28.0,King Clancy,1936-37,1,0.9999742132714735
/players/r/robitlu01.html,29.0,Luc Robitaille,2005-06,1,0.9999726605151922
/players/m/macinal01.html,30.0,Al MacInnis,2003-04,1,0.9999722051368559
/players/c/clappdi01.html,31.0,Dit Clapper,1946-47,1,0.9999583193929127
/players/s/seibeea01.html,32.0,Earl Seibert,1945-46,1,0.9999448875672096
/players/l/laflegu01.html,33.0,Guy Lafleur,1990-91,1,0.999940509628372
/players/d/drydeke01.html,34.0,Ken Dryden,1978-79,1,0.999931702899614
/players/r/richahe01.html,35.0,Henri Richard,1974-75,1,0.9999114250651618
/players/c/chelich01.html,36.0,Chris Chelios,2009-10,1,0.9999044572494525
/players/b/bossymi01.html,37.0,Mike Bossy,1986-87,1,0.9998887862151801
/players/p/potvide01.html,38.0,Denis Potvin,1987-88,1,0.9998820574834862
/players/s/selante01.html,39.0,Teemu Selänne,2013-14,1,0.9998690329364979
/players/r/roypa01.html,40.0,Patrick Roy,2002-03,1,0.9998397328268643
/players/d/dennecy01.html,41.0,Cy Denneny,1928-29,1,0.9998283557625021
/players/b/brimsfr01.html,42.0,Frank Brimsek,1949-50,1,0.999800460447814
/players/r/robinla01.html,43.0,Larry Robinson,1991-92,1,0.9997610767625938
/players/t/thornjo01.html,44.0,Joe Thornton,2021-22,0,0.9996983782657665
/players/b/bouchfr01.html,45.0,Frank Boucher,1943-44,1,0.9996248773997465
/players/h/hortoti01.html,46.0,Tim Horton,1973-74,1,0.9996169836285859
/players/c/conacch01.html,47.0,Charlie Conacher,1940-41,1,0.999551801942689
/players/s/sakicjo01.html,48.0,Joe Sakic,2008-09,1,0.9995181381870313
/players/h/hasekdo01.html,49.0,Dominik Hasek,2007-08,1,0.9994321175968358
/players/c/cowlebi01.html,50.0,Bill Cowley,1946-47,1,0.9994269394204941
/players/b/brodatu01.html,51.0,Turk Broda,1951-52,1,0.9994251592729438
/players/d/dionnma01.html,52.0,Marcel Dionne,1988-89,1,0.9992694139783501
/players/t/trottbr01.html,53.0,Bryan Trottier,1993-94,1,0.9992257247768549
/players/d/delveal01.html,54.0,Alex Delvecchio,1973-74,1,0.9992084778894915
/players/c/charazd01.html,55.0,Zdeno Chara,2021-22,0,0.9991880589030224
/players/h/hullbr01.html,56.0,Brett Hull,2005-06,1,0.999159902183985
/players/s/stewane01.html,57.0,Nels Stewart,1939-40,1,0.9991448510055436
/players/g/geoffbe01.html,58.0,Bernie Geoffrion,1967-68,1,0.9991054156954534
/players/k/kurrija01.html,59.0,Jari Kurri,1997-98,1,0.9990560277218256
/players/g/gadsbbi01.html,60.0,Bill Gadsby,1965-66,1,0.9989842158127686
/players/i/iginlja01.html,61.0,Jarome Iginla,2016-17,1,0.9988744955242939
/players/s/smithho01.html,62.0,Hooley Smith,1940-41,1,0.9988545987093869
/players/s/stevesc01.html,63.0,Scott Stevens,2003-04,1,0.9988506194410287
/players/p/parkbr01.html,64.0,Brad Park,1984-85,1,0.9987849813220748
/players/m/murphla01.html,65.0,Larry Murphy,2000-01,1,0.9986979510959295
/players/p/pilotpi01.html,66.0,Pierre Pilote,1968-69,1,0.9986055996909498
/players/j/jacksbu01.html,67.0,Busher Jackson,1943-44,1,0.9985837865545717
/players/b/blaketo01.html,68.0,Toe Blake,1947-48,1,0.9985005446034783
/players/k/kanepa01.html,69.0,Patrick Kane,2021-22,0,0.9981293389153375
/players/b/bouchge01.html,70.0,Georges Boucher,1931-32,1,0.9980937814801695
/players/c/cookbi01.html,71.0,Bill Cook,1936-37,1,0.9980598127359128
/players/c/clarkbo01.html,72.0,Bobby Clarke,1983-84,1,0.9979153440820404
/players/s/shanabr01.html,73.0,Brendan Shanahan,2008-09,1,0.9977728747096394
