"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"Brent Burns","81","24.921","44.27","109.2","132.02","25.5178"," 7.0e-01","294.8"," 12.2"
"Patrice Bergeron","77","26.822","40.16"," 73.6"," 51.93","21.9328"," 1.1e+00","242.0","960.3"
"Claude Giroux","74","23.520","42.66"," 80.0"," 38.31","23.9544"," 9.7e-01","209.6","871.5"
"Alex Ovechkin","71","32.857","34.43","182.7"," 34.73","23.7982"," 4.6e-01","306.5","  0.0"
"Jamie Benn","71","25.245","34.50","125.3"," 46.34","19.2462"," 7.8e-01","207.8","208.7"
"Tyler Seguin","76","29.343","40.53"," 87.2"," 33.83","23.4550"," 6.7e-01","268.0","402.5"
"Sidney Crosby","68","24.786","43.23"," 66.2"," 33.64","24.2310"," 5.4e-01","193.9","764.0"
"Erik Karlsson","69","16.160","38.31"," 72.6","130.34","20.8205"," 3.3e-01","201.5","  0.0"
"Ryan O'Reilly","74","20.553","36.02"," 30.6"," 44.23","18.0807"," 1.0e+00","172.0","887.5"
"Kris Letang","68","15.588","35.39","118.5","110.14","20.6859"," 2.5e-01","191.5","  0.0"
"Ryan Kesler","69","16.675","26.72","125.1"," 69.51","11.9275"," 8.8e-01","148.3","744.8"
"Anze Kopitar","70","19.542","36.56"," 65.1"," 52.06","17.9106"," 8.5e-01","160.3","722.5"
"Blake Wheeler","75","24.046","34.75"," 92.4"," 49.54","16.7632"," 8.4e-01","222.0"," 18.9"
"Evander Kane","72","23.837","23.92","180.3"," 31.89","11.6929"," 9.2e-01","254.2"," 64.2"
"Nazem Kadri","70","19.851","29.23","131.8"," 42.36","14.8053"," 6.9e-01","201.1","493.1"
"Patrick Kane","71","28.767","42.29"," 42.3"," 23.43","26.0520"," 3.1e-01","235.8"," 21.9"
"Nathan MacKinnon","73","22.473","32.68"," 59.6"," 51.52","17.0451"," 6.7e-01","225.4","435.6"
"John Tavares","68","23.546","34.90"," 49.6"," 30.25","18.9998"," 5.4e-01","202.4","605.7"
"Brandon Dubinsky","69","15.315","25.19","186.5"," 40.24","10.7869"," 7.2e-01","142.0","613.0"
"Dustin Byfuglien","68","13.997","25.88","164.9"," 89.42","13.7027"," 3.7e-01","187.0","  0.0"
"Jeff Carter","69","21.871","29.91"," 76.6"," 37.19","14.1326"," 9.0e-01","209.3","494.3"
"Oliver Ekman-Larsson","70","15.294","29.18","137.0"," 73.58","17.9265"," 2.1e-01","189.2","  0.0"
"Pavel Datsyuk","69","19.041","35.40"," 70.7"," 36.74","19.5938"," 4.2e-01","167.6","576.8"
"Torey Krug","64","11.492","30.67"," 55.4"," 79.07","17.2451"," 2.3e-01","161.4","  8.6"
"Ryan Getzlaf","67","16.393","35.27"," 89.4"," 50.67","18.5931"," 4.4e-01","148.6","488.3"
"Mark Giordano","68","13.309","28.85"," 69.0","142.52","14.5261"," 4.9e-01","165.9","  0.0"
"Bryan Little","72","18.845","30.36"," 63.8"," 31.92","14.1354"," 9.8e-01","159.4","719.4"
